StockCode,AvgUnitPrice,SalesVolume
85054,3.47,551
23009,1.5,209
21564,1.85,1016
22729,3.24,2182
22359,4.19,162
22479,3.38,1078
22443,3.88,153
20658,1.54,328
20886,0.12,453
22767,1.5,761
22403,4.13,1223
21821,3.82,223
20848,3.75,21
21263,0.13,165
22072,0.63,813
22329,2.46,1387
22453,2.77,334
21269,4.16,28
10124A,2.44,16
10124G,0.31,17
72133,3.38,39
21202,1.85,449
21369,3.85,98
16161G,4.71,700
22188,0.39,4844
22837,2.9775,992
22610,0.61,9146
21135,2.5399999999999996,2708
22862,0.74,143
21171,4.36,424
21878,3.65,2397
23104,1.6549999999999998,116
22069,2.22,220
84915,0.31,199
84617,3.36,3
22297,1.78,3863
22471,4.12,360
22780,4.98,1340
23107,2.24,340
22170,2.57,1023
22189,3.25,8195
22622,2.75,1295
22430,2.89,544
21374,1.54,294
22514,4.06,261
22048,4.75,975
22820,1.07,761
23028,2.6799999999999997,1247
22935,3.82,673
37450,3.94,668
22405,0.5,347
22395,2.59,134
20772,0.47,218
85127,3.9349999999999996,80
84744,2.81,108
37342,2.62,1435
21814,1.37,75
15058B,4.28,115
22166,2.44,122
90157,4.09,7
21533,3.94,1317
23447,4.36,158
22353,4.31,61
22485,0.4,462
22583,2.86,529
22855,1.48,2508
79164,1.49,1672
20857,4.07,32
22216,2.96,327
21394,2.7800000000000002,3822
22128,3.915,1729
21188,0.7,294
90154,1.35,57
21215,4.92,868
21629,2.14,53
84568,4.86,12480
90170,0.85,46
21275,4.0,10
21698,4.41,266
21382,4.11,1045
22319,4.74,1346
22451,2.88,202
21828,3.19,314
20663,3.04,3
22120,4.68,505
21038,1.98,77
21198,2.76,964
21425,1.8,67
22104,4.1,151
22882,0.54,83
20851,4.12,9
90147,2.81,21
40016,2.3333333333333335,5524
16162L,2.24,17
21465,0.15,193
23036,1.91,183
22889,4.18,147
23137,2.68,80
22879,3.02,62
20998,1.57,119
22284,2.94,901
22887,4.23,66
22117,0.67,1290
90155,0.09,6
21972,2.3,292
21530,2.34,756
22826,4.43,58
20657,2.82,61
21454,4.59,318
90096,0.84,8
22861,2.64,292
90146,4.44,13
22718,1.3,1560
22700,1.665,1194
21520,1.19,457
22803,2.88,46
23024,4.8,254
22504,4.19,160
21392,0.31,32
72812,2.63,18
21398,0.41500000000000004,1499
22987,0.2,100
22259,3.13,384
22322,4.99,390
16259,1.06,3380
20793,4.0,8
22520,3.31,705
20670,1.14,8
22783,1.83,462
20778,1.1,15
84731,1.36,2
22223,4.26,315
20696,2.4,32
35241,2.025,89
37351,0.53,4
21458,0.44,158
22877,2.6,56
23124,1.3,503
18098C,2.56,193
85006,1.61,55
23055,2.7750000000000004,561
85141,1.98,123
21018,2.6550000000000002,22
22873,2.86,47
21503,0.23,726
35965,2.0075000000000003,181
23441,0.43,22
84548,2.58,15
20836,1.08,170
20701,4.77,6
90051,3.97,6
20700,3.59,10
21196,0.8,89
84919,0.55,29
84279P,3.3699999999999997,339
72802B,4.515000000000001,968
72802C,1.3966666666666665,1375
85170B,4.24,179
84536A,0.99,2729
85049H,0.19,448
85035A,2.96,263
85049C,4.93,1198
85099F,1.84,16807
72760B,3.16,386
48173C,3.71,1787
85103,3.125,91
84536B,1.45,1684
35957,2.64,558
85231B,0.83,798
16010,3.02,30
85199S,4.18,2234
84032B,0.73,654
84997B,2.2649999999999997,4035
84596G,2.14,1662
79151B,3.48,11
21281,1.6,35
85130A,3.07,77
16046,1.47,67
84569A,1.64,191
90060D,3.74,3
37333,0.11,14
79051A,2.94,791
C2,3.89,134
17165D,0.22,27
21662,4.64,74
82001S,3.8899999999999997,1508
85061W,1.0,1986
85124B,1.83,82
21661,3.6,3
85230B,3.09,1264
84663A,1.86,260
79067,2.81,143
84559A,2.61,272
84859A,2.55,123
90028,4.98,2
20827,2.395,88
22876,2.68,52
22871,3.35,52
21637,2.01,109
85183A,2.95,657
84509A,2.17,612
90214K,1.82,47
51020B,2.135,197
37444A,3.66,49
84907,4.13,5
84406B,2.3833333333333333,1918
84745A,4.27,32
37482P,3.98,489
84226,0.76,49
35913B,3.19,35
84575A,4.22,14
16202E,1.84,15
84249A,2.5,160
BANK CHARGES,3.8,12
84926E,3.98,990
84563B,1.29,73
85008,0.26,12
37444B,4.02,4
84510E,2.8,25
46776B,0.45,15
21736,4.53,80
84509B,1.63,156
47593A,0.735,33
84796B,3.09,69
84661A,3.87,94
90082B,2.72,27
37489D,0.71,40
90200D,2.01,99
35095A,4.28,811
90200E,1.7,76
84877B,1.87,126
84875B,0.16,125
90214M,3.99,27
84597B,3.62,41
84078A,2.2,357
84968A,3.51,147
90062,2.3,20
90125A,1.54,109
90125C,1.05,73
79329,0.71,12
47013C,0.38,43
21460,4.56,26
21461,3.54,9
90124C,1.69,7
79144C,3.18,64
90160B,0.66,21
21897,3.79,402
84858C,1.97,185
17012E,1.81,59
90016A,3.54,14
90003C,4.91,12
90214H,0.21,22
85180B,2.39,196
21847,2.58,9
20678,3.61,4
90214I,0.58,25
90036D,0.19,11
62074B,3.27,16
84206C,4.77,8
90184A,1.61,8
84975,1.74,5
44236,1.82,52
90175C,3.06,9
90124B,2.34,4
47369B,4.36,3
72815,0.63,2
90202C,0.11,7
90019A,3.7,18
90202B,0.73,7
90201D,2.11,46
90183A,1.78,20
90185A,2.87,22
90202A,0.28,6
62097B,0.72,9
71495A,3.12,96
90084,1.49,1
90016B,2.01,9
47594B,2.18,91
47369A,2.26,8
35916A,1.32,20
72801C,4.1899999999999995,138
90012B,3.355,12
47585A,4.35,102
84800L,2.05,360
84925F,3.54,80
90071,1.38,1
90010E,3.22,10
46776D,2.12,12
90001A,4.93,2
90187B,1.75,4
90036C,0.35,6
84620,4.16,2
90014C,2.48,4
90211A,0.1,5
84798A,4.16,14
90024D,3.89,1
90214J,3.48,23
85188B,2.05,75
84925D,0.06,15
79157V,4.43,5
84415A,3.86,12
90163A,3.78,4
17001,1.91,72
90130A,3.95,1
90141C,2.83,4
90078,0.86,2
90125E,4.76,1
62096B,1.49,2
47574B,3.25,4
37491B,2.19,4
37491C,4.59,8
90039A,2.27,6
90039B,3.93,6
37487B,3.855,68
90175D,3.93,3
79323B,2.25,8
90141E,4.89,3
90141B,1.64,6
90011B,3.74,7
37379A,2.25,6
90104,0.02,1
44265,2.69,2
